,text,sentiment
0, билеты до липецка).,2
1, вода 15 л.,2
2, где оперативность?,2
3, из 5.,2
4, пассажиры всех возрастов).,2
5, стройка идет в одном метре от домов!,2
6, января ездила сапсаном в питер и обратно из москвы.,1
7,*** ты припёрся в депо?,2
8,-й маршрут на новочеремовском резервом до профсоюзной на профсоюзной не сажайте пассажиров.,0
9,0 минут. ,0
10,0 с  минусом.,2
11,0-й пикет 157-го.,0
12,00 километров в час.,0
13,00-150 метров до запрещающей скорости.,0
14,06-й километр. ,0
15,086 значит произвели отцепку от поезда номер 2 ждем дальнейших указаний.  ,0
16,1 часов 14 минут обратная передача верна приказ No26 утверждаю.,0
17,1-й вагон там просят работникв полиции.,2
18,16-й километр.,0
19,18-м километре.,0
20,1и? маршрут вас понял выдержка 1 минута на Вои?ковскои?.,0
21,1и? маршрут на станции Вои?ковская сделаи?те выдержку 1 минуту.,0
22,1и? маршрут понятно вхожу в график.,0
23,1и? маршрут принимаи?те приказ: 28.12.2022г. Время 11 часов 13 минут приказ No26 станции Автозаводская машинисту 11го маршрута отправиться со 2 главного станционного пути станции Автозаводская при запрещающем показании светофора АВ258мг со скоростью не более 20кмч до следующего светофора диспетчер Игнатова машинист обратно.,0
24,1и? маршрут сокращаи?те интервал входите в график.,0
25,1и? маршрут у впереди идущего на перегоне Маяковская- Белорусская пропадал контроль двереи? проследуете – доложите. – Диспетчер 11и? маршрут понятно.,0
26,1й маршрут вас понял выдержка 1 минута на Войковской.,0
27,1й маршрут на станции Войковская сделайте выдержку 1 минуту.,0
28,1й маршрут понятно вхожу в график.,0
29,1й маршрут принимайте приказ: 28.12.2022г. Время 11 часов 13 минут приказ No26 станции Автозаводская машинисту 11го маршрута отправиться со 2 главного станционного пути станции Автозаводская при запрещающем показании светофора АВ258мг со скоростью не более 20кмч до следующего светофора диспетчер Игнатова машинист обратно.,0
30,1й маршрут сокращайте интервал входите в график.,0
31,1й маршрут у впереди идущего на перегоне Маяковская- Белорусская пропадал контроль дверей проследуете – доложите. – Диспетчер 11й маршрут понятно.,0
32,1й маршрут вас понял выдержка 1 минута на Войковской.,0
33,1й маршрут на станции Войковская сделайте выдержку 1 минуту.,0
34,1й маршрут понятно вхожу в график.,0
35,1й маршрут принимайте приказ: 28.12.2022г. Время 11 часов 13 минут приказ No26 станции Автозаводская машинисту 11го маршрута отправиться со 2 главного станционного пути станции Автозаводская при запрещающем показании светофора АВ258мг со скоростью не более 20кмч до следующего светофора диспетчер Игнатова машинист обратно.,0
36,1й маршрут сокращайте интервал входите в график.,0
37,1й маршрут у впереди идущего на перегоне Маяковская-Белорусская пропадал контроль дверей проследуете – доложите.,0
38,2 1 светофор закрыт!,0
39,2 кусочка хлеба к хлебу тоже претензий нет.,2
40,2 розетки на весь вагон.,2
41,2-й где находитесь?,0
42,2-й путь димитров-пассажирский.,0
43,2-й слушает. ,0
44,2-й слушаю.,0
45,20 км в час за 150 не более 10.,0
46,20 лет прошло как я устроился и ничего не изменилось.,2
47,20.09 да?,0
48,2020 свеженький.,1
49,2073 пикет с 10 по 4 у каждого 25 отменилось к 7.30 скорость установленная приказ 1027.,0
50,2073-й с 10 по 4-й!,0
51,22-й маршрут где вы находитесь сейчас?,0
52,22-й маршрут по какой причине проследовали?,0
53,22-й маршрут подскажите светофор в-1 по какому показанию следовали?,0
