,text,sentiment
0,﻿Диспетчер 135 поезд 11й маршрут нахожусь на 3 станционном пути станции Каховская у светофора КХ3 готов к работе на линии.,0
1,Диспетчер 145 поезд 11й маршрут отправился со станции Белорусская с увеличенным интервалом пассажиры держали двери.,0
2,Диспетчер 116 поезд 11й маршрут нахожусь на 2 пути перегона Павелецкая-Автозаводская у светофора АВ248 светофор АВ248 – красный.,0
3,Диспетчер 128 поезд 11й маршрут нахожусь на 2 главном станционном пути станции Сокол отсутствует контроль дверей буду выходить из случая.,0
4,1й маршрут у впереди идущего на перегоне Маяковская-Белорусская пропадал контроль дверей проследуете – доложите.,0
5,Диспетчер 11й маршрут понятно.,0
6,1й маршрут на станции Войковская сделайте выдержку 1 минуту.,0
7,1й маршрут вас понял выдержка 1 минута на Войковской.,0
8,1й маршрут сокращайте интервал входите в график.,0
9,1й маршрут понятно вхожу в график.,0
10,Диспетчер 116й поезд 11й маршрут нахожусь на 2 пути перегона Павелецкая-Автозаводская у светофора АВ248 светофор АВ248 – красный.,0
11,Понятно 11й маршрут будете проследовать светофор АВ248 по пригласительному сигналу.,0
12,Диспетчер 11й маршрут вас понял буду проследовать светофор АВ248 по пригласительному сигналу.,0
13,Диспетчер 11й маршрут нахожусь на 2 главном пути станции Автозаводская светофор АВ258мг красный.,0
14,Понятно 11й маршрут будете проследовать светофор АВ258мг по приказу ожидайте приказ.,0
15,Диспетчер 11й маршрут понятно АВ258мг по приказу.,0
16,1й маршрут принимайте приказ: 28.12.2022г. Время 11 часов 13 минут приказ No26 станции Автозаводская машинисту 11го маршрута отправиться со 2 главного станционного пути станции Автозаводская при запрещающем показании светофора АВ258мг со скоростью не более 20кмч до следующего светофора диспетчер Игнатова машинист обратно.,0
17,28.12.2022г. Время 11 часов 13 минут приказ No26 станции Автозаводская машинисту 11го маршрута отправиться со 2 главного станционного пути станции Автозаводская при запрещающем показании светофора АВ258мг со скоростью не более 20кмч до следующего светофора диспетчер Игнатова машинист Савёлов.,0
18,1 часов 14 минут обратная передача верна приказ No26 утверждаю.,0
19,Диспетчер 11му маршруту выдержка 1 минута на Соколе верно?,0
20,Верно 11й маршрут.,1
21,Так что мне еще постоять или все-таки отправиться?,0
22,Безопасность движения.,0
23,Понятно в общем на 5 часов чтобы были готовы.,1
24,Предоставить расчет обоснованный и написали доказательства в обосновании стоимости ремонтных работ.,2
25,На втором пути 61-й необходимо отставить на третий станционный путь машинистов.,0
26,У вас что ложная занятость или что?,2
27,Действительно ли там должен быть работать старший электромеханик?,2
28,Диспетчер машинист 55 повторяем информацию он заходит заезжает на 5-й и идёт на 2-й правильно?,0
29,Внимание!,0
30,Добрый день 68-35 здесь на 28-ом километре на контактной опоре там сбоку провода какие-то идут и под изолятором деревянная консоль она дымится сейчас почти горит.,0
31,Так она ж ничего не делает.,2
32,Значит 61 маршрут за сигналом следите по пригласительному сигналу светофора д будете следовать на 3-й станционный путь станции октябрьская.,0
33,плотность тормозной магистрали 35 сек.,0
34,Где приложение к этой калькуляции?,0
35,Слева без замечания остановка не подается справа без замечания.,0
36,Маршрута вот сейчас только прошла.,0
37,Вы сейчас у меня запрашиваетесь по приказу куда-то ехать.,2
38,Татьяна александровна?,0
39,Приказы и распоряжения днц по движению поездов подлежат беспрекословному выполнению работниками связанными с движением поездов дежурными по станциям машинистами локомотивов главными кондукторами сборных поездов и другими.,0
40,Но я путейцам сообщила пусть они тоже на место выезжают и убирают.,2
41,Шестой Казанская,0
42,С кем вы будете разбираться?,2
43,Какое удобное для вас время?,0
